Distance from Center (cmd=annotatePeaks.pl tss mm9 -size 10000 -hist 20 -len 1 -d 3T3_ChIP_bulk )	3T3_ChIP_bulk Coverage	3T3_ChIP_bulk + Tags	3T3_ChIP_bulk - Tags
-5000	13.86493097	0.003262202	0.003359795
-4980	13.59098815	0.003165181	0.003322127
-4960	13.84780954	0.003329547	0.003265056
-4940	13.7816067	0.003312996	0.003242798
-4920	13.47798674	0.00326791	0.003145777
-4900	13.58870529	0.003258778	0.00322054
-4880	13.85922383	0.00338776	0.003206272
-4860	14.11490379	0.003384335	0.003310142
-4840	13.64006957	0.00329987	0.00321198
-4820	13.29878248	0.00315662	0.003181161
-4800	13.64691814	0.003272475	0.003214833
-4780	13.65833243	0.003256495	0.003223965
-4760	13.93569953	0.003362077	0.003262202
-4740	13.91629525	0.003362077	0.003248505
-4720	14.0350038	0.003346668	0.00332384
-4700	14.03272095	0.003347239	0.003309001
-4680	14.08636808	0.00336436	0.003334112
-4660	14.20051093	0.003388901	0.003340961
-4640	14.07381237	0.003352375	0.003365502
-4620	13.8660724	0.003318132	0.003289026
-4600	13.92428525	0.003354087	0.003295875
-4580	13.88661811	0.003326122	0.003299299
-4560	13.85465812	0.003350663	0.00326848
-4540	13.95282096	0.003295304	0.003345527
-4520	13.97679096	0.003295875	0.003378057
-4500	13.81813241	0.003309001	0.003277041
-4480	13.85123383	0.003316991	0.003290738
-4460	13.71882813	0.003281036	0.00325193
-4440	13.88661811	0.003269622	0.003356941
-4420	13.89574954	0.003278753	0.003328405
-4400	13.87177954	0.003327264	0.003264485
-4380	13.89232525	0.00330843	0.003304435
-4360	13.81699098	0.00331642	0.00325193
-4340	13.61495815	0.003233096	0.003257637
-4320	13.79187955	0.003266768	0.003309572
-4300	13.69371671	0.003241657	0.003250217
-4280	13.83297098	0.003293021	0.003297016
-4260	13.88890097	0.003318703	0.0032759
-4240	13.75307099	0.003262773	0.00331642
-4220	13.68230242	0.003302152	0.003231384
-4200	13.57957387	0.003222252	0.003262202
-4180	13.61952386	0.003246222	0.003247364
-4160	13.5567453	0.003146918	0.003318132
-4140	13.7496467	0.003314708	0.003223965
-4120	13.52592673	0.003243369	0.003196
-4100	13.681161	0.003231955	0.003297016
-4080	13.7256767	0.003247935	0.003293592
-4060	13.657191	0.003262773	0.00324394
-4040	13.83867812	0.00332384	0.003262202
-4020	13.55788673	0.00318858	0.003265627
-4000	13.633221	0.00336436	0.003130938
-3980	13.82269812	0.003348951	0.003249647
-3960	13.47342102	0.003250217	0.003166893
-3940	13.89803239	0.0032525	0.003371209
-3920	13.61267529	0.003207985	0.003257066
-3900	13.85123383	0.003307289	0.003306718
-3880	13.72339385	0.003255925	0.003287314
-3860	13.27823676	0.003093842	0.003239945
-3840	13.32617676	0.003189722	0.003175454
-3820	13.15382107	0.003142352	0.003112675
-3800	13.42319817	0.00311667	0.003280465
-3780	13.42091532	0.003145777	0.003238803
-3760	13.617241	0.003134362	0.003316991
-3740	13.55217958	0.003194287	0.00325193
-3720	13.17094249	0.003080715	0.00321198
-3700	13.47570388	0.003194858	0.003207985
-3680	13.76334384	0.003312425	0.003245652
-3660	13.40950103	0.003217116	0.003189722
-3640	13.4642896	0.003323269	0.00306816
-3620	13.59327101	0.003380911	0.003105256
-3600	13.56815958	0.003340961	0.003126372
-3580	13.59555386	0.003278182	0.003186868
-3560	13.58756387	0.003190863	0.003262202
-3540	13.84096097	0.003278182	0.003297016
-3520	13.77818241	0.003286743	0.003249076
-3500	13.73823242	0.003255925	0.003282177
-3480	13.673171	0.003221682	0.003270192
-3460	13.89803239	0.003271905	0.003344956
-3440	13.55788673	0.003218828	0.003249076
-3420	13.68915099	0.003238232	0.003293021
-3400	13.90830525	0.00326049	0.003355229
-3380	13.23372106	0.00311667	0.003209126
-3360	13.57729101	0.003230242	0.00324451
-3340	13.4243396	0.003216545	0.003173171
-3320	13.35699533	0.003234237	0.003157191
-3300	13.70855528	0.003319845	0.003199995
-3280	13.43689531	0.003253642	0.003153196
-3260	13.64691814	0.0032759	0.003216545
-3240	13.58642244	0.003234808	0.003226247
-3220	13.61153386	0.003298157	0.003202848
-3200	13.95510382	0.0033324	0.003310142
-3180	13.64349386	0.00324451	0.003242798
-3160	13.71882813	0.003249076	0.003283319
-3140	13.59441244	0.003262202	0.003209697
-3120	13.83525383	0.003214262	0.003362077
-3100	13.51222959	0.00319657	0.003266197
-3080	13.87862811	0.003301582	0.003316991
-3060	13.7416567	0.003262773	0.003275329
-3040	13.59669529	0.003202848	0.003262202
-3020	13.70170671	0.00321255	0.003298157
-3000	13.52136102	0.003266768	0.003159474
-2980	13.55902816	0.003249076	0.003199995
-2960	13.86721383	0.003376916	0.003234808
-2940	13.88661811	0.00336379	0.003232525
-2920	13.65376671	0.003286743	0.003254783
-2900	13.82269812	0.003433417	0.00314064
-2880	13.97336667	0.003407735	0.003251359
-2860	14.09435808	0.003371209	0.003335825
-2840	13.98820524	0.00339632	0.003257637
-2820	14.15257093	0.003467089	0.003281036
-2800	14.44477661	0.003506468	0.003400315
-2780	14.35346233	0.003417437	0.003379199
-2760	14.52581802	0.003631455	0.003294733
-2740	14.72442657	0.003594929	0.003403169
-2720	14.45733232	0.00351617	0.003358653
-2700	14.79291227	0.003542994	0.003478503
-2680	14.81574084	0.003570388	0.003456245
