name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
ENSG00000008196_LINE2_TFAP2B_D_N1	TFAP2B	0.532728798841193	0.420126006265543	0.639507743710845	0.999997687954881	1
ENSG00000008196_LINE3_TFAP2B_D_N1	TFAP2B	0.508062713870911	0.405466025479122	0.592953226744024	0.999999438092529	1
ENSG00000008196_LINE4_TFAP2B_D_N1	TFAP2B	0.675624773857767	0.520979077996321	0.794325862050032	0.99875349334234	1
ENSG00000008196_LINE5_TFAP2B_D_N1	TFAP2B	0.47770177169434	0.389668749820702	0.552247429189752	0.999999916127871	1
ENSG00000008197_LINE6_TFAP2D_D	TFAP2D	0.282286892403533	0.2148277667743	0.336596924707015	0.999999999999999	1
ENSG00000087510_LINE7_TFAP2C_D_N3	TFAP2C	0.460287290313253	0.313800158191089	0.605607797142926	0.999999974172829	1
ENSG00000087510_LINE12_TFAP2C_D_N2	TFAP2C	0.534135728128821	0.415722475625872	0.633862031440523	0.999997501994937	1
ENSG00000087510_LINE13_TFAP2C_D_N2	TFAP2C	0.565858554073945	0.463173324458043	0.642335085187823	0.999986935072717	1
ENSG00000087510_LINE14_TFAP2C_D_N2	TFAP2C	0.616438437791483	0.468437629323708	0.738606693316833	0.999868501975514	1
ENSG00000087510_LINE8_TFAP2C_D_N1	TFAP2C	0.52962861507169	0.422168577578659	0.619172090357913	0.999998052725464	1
ENSG00000116819_LINE19_TFAP2E_I	TFAP2E	0.530728272416626	0.396175273000902	0.642944090115788	0.999997930038141	1
ENSG00000137203_LINE29_TFAP2A_D_N3	TFAP2A	0.539697095172977	0.436529658711302	0.635387590193524	0.999996619969144	1
ENSG00000137203_LINE20_TFAP2A_D_N2	TFAP2A	0.530554825399574	0.436015151459213	0.610530409573313	0.999997949861425	1
ENSG00000137203_LINE28_TFAP2A_D_N2	TFAP2A	0.627989323545685	0.474451538206896	0.762582328456195	0.999788489719417	1
ENSG00000137203_LINE30_TFAP2A_D_N2	TFAP2A	0.882357929147372	0.679917709614639	1.0436853761617	0.840988946839356	1
ENSG00000137203_LINE21_TFAP2A_D_N1	TFAP2A	0.431374106959709	0.341355233773667	0.501067507694177	0.999999996865455	1
ENSG00000116017_LINE44_ARID3A_D_N1	ARID3A	0.263062689684601	0.187576076569793	0.326175207702099	1	1
ENSG00000116017_LINE45_ARID3A_D_N1	ARID3A	0.680000312042421	0.518637400868467	0.816166418099346	0.998553708897367	1
ENSG00000150347_LINE49_ARID5B_D_N1	ARID5B	0.706070920176374	0.573331673466191	0.808979081220843	0.996653495063033	1
ENSG00000150347_LINE50_ARID5B_D_N1	ARID5B	0.616066906375303	0.475682204802606	0.713226919471042	0.999870536723664	1
ENSG00000179361_LINE51_ARID3B_I	ARID3B	0.554013970960748	0.434333986690367	0.654821343871423	0.999992815623693	1
ENSG00000196843_LINE52_ARID5A_I	ARID5A	0.642407652565419	0.498667497579852	0.760831877247159	0.999626791562899	1
ENSG00000205143_LINE53_ARID3C_I	ARID3C	0.559789842670144	0.409397802749332	0.681283570769215	0.999990355492105	1
ENSG00000189079_LINE54_ARID2_I	ARID2	0.773394941921193	0.636044463633165	0.895061224092314	0.979314115670376	1
ENSG00000137309_LINE57_HMGA1_D	HMGA1	0.296813958144659	0.244848776648104	0.337917267370612	0.999999999999994	1
ENSG00000149948_LINE59_HMGA2_D	HMGA2	0.648947050986713	0.531837831043051	0.750590135198325	0.999521508138824	1
ENSG00000125952_LINE73_MAX_D_N10	MAX	0.570222217743528	0.449736243593214	0.671614050137544	0.999983807753214	1
ENSG00000125952_LINE61_MAX_D_N1	MAX	0.536842748265605	0.405242907993796	0.643490010970153	0.99999710391965	1
ENSG00000125952_LINE74_MAX_D_N1	MAX	0.500410851320165	0.410588809934208	0.575113256423865	0.999999646001047	1
ENSG00000009950_LINE78_MLXIPL_D_N1	MLXIPL	0.617622578221001	0.52134243178387	0.690692289801563	0.999861818817067	1
ENSG00000009950_LINE79_MLXIPL_D_N1	MLXIPL	0.718600949962791	0.528659544798174	0.854836475357494	0.995128021102316	1
ENSG00000029153_LINE80_ARNTL2_I	ARNTL2	0.520050447245831	0.394508615632476	0.61612009396508	0.99999886681572	1
ENSG00000063438_LINE82_AHRR_I	AHRR	0.507533644315931	0.411378641511724	0.592734005221811	0.999999455562128	1
ENSG00000068323_LINE84_TFE3_D_N1	TFE3	0.557631808793815	0.466193350905445	0.632775516689378	0.999991354796259	1
ENSG00000068323_LINE85_TFE3_D_N1	TFE3	0.517197945811991	0.426990433026794	0.589841672450192	0.999999038676081	1
ENSG00000069812_LINE86_HES2_I	HES2	0.657235927142784	0.524083301981419	0.778556270698235	0.999349528613114	1
ENSG00000070444_LINE87_MNT_D	MNT	0.56627682657812	0.433853015318198	0.667820985580156	0.999986661782098	1
ENSG00000071564_LINE91_TCF3_D_N2	TCF3	0.557393294168457	0.446555452646965	0.651664975521054	0.999991459084045	1
ENSG00000071564_LINE90_TCF3_D_N1	TCF3	0.563666449598009	0.410231027786046	0.700393375906001	0.999988283774321	1
ENSG00000071564_LINE93_TCF3_D_N1	TCF3	0.770413922206108	0.616619646926255	0.905019460958805	0.980728454403466	1
ENSG00000072310_LINE94_SREBF1_D_N3	SREBF1	0.67215490292914	0.564135306113675	0.757553658350033	0.99889393480443	1
ENSG00000072310_LINE96_SREBF1_D_N1	SREBF1	0.778342875491443	0.604242561112404	0.918649098937961	0.976778082651926	1
ENSG00000090447_LINE107_TFAP4_D_N2	TFAP4	0.67610822023829	0.549241171076833	0.785626297089138	0.998732706554018	1
ENSG00000090447_LINE108_TFAP4_D_N2	TFAP4	0.598770092443043	0.460619833411292	0.71126606419314	0.999938708024128	1
