"KZ1279_GB1420_0_0_mapq10_noDup.bed" "KZ1279_GB1422_0_0_mapq10_noDup.bed" "KZ1279_GB1424_0_0_mapq10_noDup.bed"
"1" 4 0 0
"2" 4 2 1
"3" 4 8 1
"4" 1 1 0
"5" 11 27 2
"6" 0 3 0
"7" 14 4 3
"8" 105 21 14
"9" 70 20 7
"10" 135 26 11
"11" 279 40 5
"12" 41 8 2
"13" 55 10 8
"14" 6 3 0
"15" 9 2 1
"16" 15 1 2
"17" 4 0 0
"18" 13 4 1
"19" 3 2 0
"20" 2 0 0
"21" 181 29 13
"22" 22 1 2
"23" 7 0 1
"24" 14 2 1
"25" 122 10 15
"26" 39 6 2
"27" 88 11 12
"28" 4 9 0
"29" 6 2 2
"30" 3 1 1
"31" 333 48 26
"32" 104 13 0
"33" 149 27 20
"34" 258 30 32
"35" 22 0 0
"36" 23 13 6
"37" 5 2 1
"38" 11 9 13
"39" 200 31 16
"40" 4 11 4
"41" 254 41 36
"42" 161 18 18
"43" 15 2 0
"44" 13 3 1
"45" 105 9 3
"46" 10 0 0
"47" 13 2 1
"48" 14 3 0
"49" 5 11 2
"50" 10 2 0
"51" 18 5 0
"52" 23 13 1
"53" 14 6 0
"54" 11 3 2
"55" 5 8 1
"56" 5 4 2
"57" 159 44 24
"58" 42 3 9
"59" 3 4 1
"60" 9 2 1
"61" 59 15 15
"62" 77 18 8
"63" 3 2 0
"64" 11 0 1
"65" 123 13 1
"66" 3 9 0
"67" 2 3 1
"68" 23 1 0
"69" 2 6 2
"70" 7 2 2
"71" 98 30 16
"72" 11 6 2
"73" 221 56 23
"74" 15 4 2
"75" 57 10 5
"76" 142 21 16
"77" 119 17 14
"78" 111 8 13
"79" 70 6 6
"80" 4 0 0
"81" 2 4 0
"82" 9 4 1
"83" 18 1 1
"84" 89 4 3
"85" 3 8 1
"86" 45 16 7
"87" 40 12 8
"88" 1 5 4
"89" 9 1 0
"90" 206 18 23
"91" 29 10 9
"92" 5 2 3
"93" 4 13 9
"94" 5 1 3
"95" 3 4 0
"96" 1 0 0
"97" 11 0 0
"98" 96 10 4
"99" 11 1 0
"100" 76 14 7
"101" 27 4 4
"102" 6 2 0
"103" 3 1 0
"104" 4 25 1
"105" 10 1 0
"106" 69 10 5
"107" 31 4 7
"108" 91 10 3
"109" 20 3 1
"110" 1 0 0
"111" 0 0 0
"112" 64 9 21
"113" 2 0 1
"114" 7 2 2
"115" 6 1 1
"116" 0 3 1
"117" 9 1 1
"118" 12 2 1
"119" 93 9 13
"120" 92 15 12
"121" 8 4 1
"122" 118 28 21
"123" 10 3 1
"124" 39 2 0
"125" 3 0 1
"126" 16 2 1
"127" 105 14 23
"128" 42 2 2
"129" 16 1 0
"130" 88 6 2
"131" 120 20 7
"132" 136 26 16
"133" 6 1 0
"134" 102 19 3
"135" 19 1 1
"136" 96 11 6
"137" 91 25 5
"138" 16 6 1
"139" 10 1 0
"140" 13 2 2
"141" 78 21 17
"142" 167 35 22
"143" 21 8 9
"144" 13 9 17
"145" 5 3 2
"146" 5 7 1
"147" 1 2 0
"148" 46 7 11
"149" 119 14 10
"150" 169 18 11
"151" 8 2 0
"152" 9 4 2
"153" 12 4 0
"154" 33 8 1
"155" 139 47 12
"156" 111 19 15
"157" 5 0 1
"158" 13 4 9
"159" 4 1 1
"160" 101 23 24
"161" 11 7 1
"162" 70 10 7
"163" 49 6 3
"164" 4 1 0
"165" 143 30 21
"166" 77 23 9
"167" 64 7 10
"168" 186 42 13
"169" 12 5 0
"170" 2 2 0
"171" 97 26 8
"172" 96 20 7
"173" 34 18 20
"174" 117 33 10
"175" 15 8 1
"176" 10 3 2
"177" 6 2 1
"178" 13 1 0
"179" 9 5 1
"180" 64 11 5
"181" 144 37 13
"182" 6 2 0
"183" 6 4 2
"184" 9 3 1
"185" 5 2 0
"186" 6 7 2
"187" 23 3 3
"188" 5 2 0
"189" 0 0 1
"190" 36 5 3
"191" 69 9 6
"192" 101 24 16
"193" 201 45 16
"194" 88 19 7
"195" 3 6 1
"196" 14 5 15
"197" 1 2 1
"198" 11 15 5
"199" 106 14 8
"200" 4 2 0
"201" 6 13 5
"202" 152 58 15
"203" 20 7 7
"204" 78 12 7
"205" 121 18 10
"206" 5 5 2
"207" 8 3 0
"208" 42 5 1
"209" 11 1 1
"210" 212 26 17
"211" 7 7 6
"212" 2 6 2
"213" 7 2 3
"214" 8 3 0
"215" 7 0 0
"216" 59 6 3
"217" 85 7 8
"218" 30 3 0
"219" 108 8 5
"220" 12 5 1
"221" 8 1 0
"222" 8 17 3
"223" 70 8 10
"224" 15 4 0
"225" 11 1 0
"226" 12 2 1
"227" 7 1 1
"228" 11 24 3
"229" 87 14 14
"230" 0 6 0
"231" 152 23 16
"232" 104 23 15
"233" 165 4 5
"234" 146 29 12
"235" 4 1 2
"236" 99 15 22
"237" 106 18 16
"238" 8 1 1
"239" 89 15 6
"240" 137 21 15
"241" 69 12 11
"242" 36 6 1
"243" 14 0 1
"244" 123 18 1
"245" 4 0 0
"246" 55 4 2
"247" 125 6 2
"248" 11 0 1
"249" 9 3 0
"250" 8 0 2
"251" 81 12 12
"252" 57 11 0
"253" 1 2 0
"254" 111 11 18
"255" 13 3 3
"256" 13 2 1
"257" 11 0 0
"258" 19 7 2
"259" 12 3 1
"260" 30 12 2
"261" 3 0 0
"262" 37 2 2
"263" 6 1 1
"264" 291 12 3
"265" 24 4 1
"266" 106 17 14
"267" 9 5 1
"268" 10 3 1
"269" 91 15 6
"270" 18 16 13
"271" 21 3 1
"272" 122 14 28
"273" 179 16 20
"274" 33 5 0
"275" 16 1 2
"276" 14 2 0
"277" 3 2 0
"278" 86 14 14
"279" 8 0 1
"280" 34 8 7
"281" 10 17 13
"282" 9 2 1
"283" 18 5 24
"284" 76 8 7
"285" 65 10 8
"286" 5 10 1
"287" 39 8 5
"288" 26 3 2
"289" 39 5 4
"290" 17 5 17
"291" 8 2 7
"292" 89 17 20
"293" 17 0 0
"294" 7 0 2
"295" 2 0 1
"296" 12 1 1
"297" 5 5 0
"298" 5 5 1
"299" 8 0 2
"300" 30 11 2
"301" 20 5 2
"302" 45 7 2
"303" 61 12 8
"304" 15 10 5
"305" 12 1 3
"306" 3 1 1
"307" 76 19 24
"308" 148 32 12
"309" 24 5 5
"310" 116 11 17
"311" 313 68 25
"312" 80 8 11
"313" 27 4 2
"314" 7 3 0
"315" 4 2 1
"316" 89 11 4
"317" 191 30 11
"318" 2 4 5
"319" 8 13 8
"320" 2 0 0
"321" 19 1 1
"322" 8 1 0
"323" 15 4 2
"324" 293 52 7
"325" 5 2 0
"326" 43 17 4
"327" 143 27 25
"328" 5 1 1
"329" 1 3 0
"330" 9 2 0
"331" 66 7 12
"332" 15 5 2
"333" 131 9 9
"334" 55 10 4
"335" 20 9 4
"336" 13 9 2
"337" 19 6 2
"338" 5 1 2
"339" 182 32 21
"340" 124 30 33
"341" 110 14 11
"342" 130 17 9
"343" 105 22 7
"344" 62 8 13
"345" 8 2 0
"346" 209 20 40
"347" 27 4 6
"348" 98 11 15
"349" 27 5 10
"350" 19 8 1
"351" 116 31 18
"352" 33 7 4
"353" 68 10 21
"354" 12 1 2
"355" 18 5 0
"356" 20 3 2
"357" 225 54 18
"358" 18 3 0
"359" 14 3 4
"360" 141 32 20
"361" 202 43 11
"362" 164 35 14
"363" 140 23 10
"364" 4 8 2
"365" 104 18 15
"366" 10 2 0
"367" 82 19 11
"368" 73 8 10
"369" 70 13 3
"370" 124 31 13
"371" 19 6 20
"372" 3 4 4
"373" 8 4 4
"374" 22 3 7
"375" 6 2 2
"376" 14 5 7
"377" 1 4 0
"378" 2 1 0
"379" 2 1 1
"380" 20 3 0
"381" 380 50 3
"382" 23 5 0
"383" 156 28 26
"384" 225 52 35
"385" 10 5 2
"386" 5 9 2
"387" 14 12 2
"388" 55 14 13
"389" 232 21 29
"390" 4 1 0
"391" 18 5 0
"392" 27 9 1
"393" 168 33 18
"394" 176 31 20
"395" 41 1 0
"396" 146 35 16
"397" 20 8 3
"398" 124 62 19
"399" 50 7 6
"400" 23 1 0
"401" 122 12 31
"402" 105 18 12
"403" 1 7 0
"404" 1 4 0
"405" 60 16 17
"406" 115 18 25
"407" 76 9 21
"408" 58 12 18
"409" 6 1 0
"410" 3 1 3
"411" 4 3 1
"412" 116 18 19
"413" 3 6 1
"414" 16 1 0
"415" 109 18 28
"416" 11 2 0
"417" 9 0 0
"418" 89 6 15
"419" 253 31 6
"420" 12 1 0
"421" 103 22 4
"422" 17 7 4
"423" 31 7 1
"424" 79 5 6
"425" 29 9 5
"426" 37 11 11
"427" 53 6 5
"428" 70 9 7
"429" 31 4 1
"430" 69 8 8
"431" 8 3 1
"432" 138 28 24
"433" 15 29 5
"434" 4 5 0
"435" 12 8 0
"436" 14 4 1
"437" 34 6 1
"438" 22 6 2
"439" 26 11 2
"440" 9 6 4
"441" 152 22 3
"442" 22 8 1
"443" 7 5 0
"444" 9 12 5
"445" 16 4 1
"446" 199 27 30
"447" 141 30 14
"448" 70 10 2
"449" 155 19 4
"450" 19 9 5
"451" 54 26 5
"452" 149 34 19
"453" 72 18 16
"454" 118 18 14
"455" 122 30 8
"456" 61 12 5
"457" 59 7 3
"458" 2 2 1
"459" 1 5 1
"460" 2 8 0
"461" 6 14 8
"462" 35 9 8
"463" 11 16 3
"464" 12 9 5
"465" 19 7 1
"466" 62 11 3
"467" 158 16 27
"468" 38 10 9
"469" 46 12 7
