"KZ730-GA6909_0_0_mapq10_noDup.bed" "Lit_ESC_H3K4me3_0_0_mapq10_noDup.bed" "Lit_naive_H3K4me3_0_0_mapq10_noDup.bed"
"1" 60 1 0
"2" 110 1 0
"3" 3 55 0
"4" 113 1 1
"5" 13 68 1
"6" 1 22 0
"7" 85 2 7
"8" 802 140 102
"9" 746 102 77
"10" 1013 131 127
"11" 1037 36 2
"12" 128 4 2
"13" 687 93 40
"14" 174 0 6
"15" 105 1 2
"16" 104 1 1
"17" 100 0 2
"18" 78 2 3
"19" 115 2 0
"20" 72 2 0
"21" 1646 106 161
"22" 145 0 3
"23" 63 2 6
"24" 76 2 0
"25" 1185 100 149
"26" 119 4 16
"27" 517 61 54
"28" 2 16 2
"29" 125 3 6
"30" 77 0 0
"31" 1210 147 82
"32" 666 2 1
"33" 725 134 77
"34" 1647 107 181
"35" 110 1 1
"36" 212 40 27
"37" 32 0 27
"38" 13 39 86
"39" 1179 214 90
"40" 14 60 18
"41" 1782 193 202
"42" 1183 100 55
"43" 143 5 2
"44" 77 3 2
"45" 607 5 2
"46" 98 4 0
"47" 98 2 3
"48" 7 17 2
"49" 6 23 1
"50" 106 0 4
"51" 101 1 0
"52" 109 29 10
"53" 162 2 2
"54" 24 31 1
"55" 3 20 3
"56" 36 2 49
"57" 1108 247 151
"58" 128 1 50
"59" 10 2 22
"60" 14 1 22
"61" 460 98 115
"62" 699 102 127
"63" 63 0 2
"64" 93 2 1
"65" 1413 18 5
"66" 15 16 1
"67" 86 0 3
"68" 94 1 0
"69" 4 21 0
"70" 126 0 2
"71" 656 116 113
"72" 164 1 0
"73" 1478 260 252
"74" 109 1 5
"75" 400 58 16
"76" 928 96 85
"77" 768 113 100
"78" 598 84 73
"79" 447 3 42
"80" 138 1 0
"81" 5 47 1
"82" 88 7 1
"83" 150 1 0
"84" 1465 4 8
"85" 4 19 1
"86" 357 101 55
"87" 294 57 62
"88" 3 17 13
"89" 54 0 0
"90" 1029 55 77
"91" 234 16 89
"92" 6 1 26
"93" 9 38 92
"94" 86 0 0
"95" 3 30 0
"96" 57 0 0
"97" 74 1 0
"98" 660 66 14
"99" 82 1 2
"100" 442 64 8
"101" 157 1 3
"102" 136 3 4
"103" 73 0 1
"104" 2 33 0
"105" 84 0 2
"106" 648 86 84
"107" 387 43 74
"108" 639 93 3
"109" 91 0 1
"110" 76 0 1
"111" 2 19 0
"112" 510 36 88
"113" 58 0 0
"114" 141 1 3
"115" 119 0 0
"116" 1 12 1
"117" 160 3 2
"118" 240 3 2
"119" 73 6 11
"120" 863 144 80
"121" 63 1 0
"122" 906 137 135
"123" 116 0 2
"124" 611 0 2
"125" 50 3 0
"126" 154 0 3
"127" 790 77 114
"128" 160 1 4
"129" 120 0 0
"130" 561 103 23
"131" 703 28 39
"132" 750 105 57
"133" 41 0 23
"134" 725 76 12
"135" 66 0 2
"136" 559 34 21
"137" 764 63 17
"138" 87 5 4
"139" 61 1 5
"140" 216 4 4
"141" 504 43 109
"142" 744 168 227
"143" 141 28 100
"144" 12 10 182
"145" 6 2 40
"146" 2 20 1
"147" 3 37 0
"148" 234 46 77
"149" 817 96 152
"150" 757 29 65
"151" 84 2 2
"152" 12 1 24
"153" 70 0 1
"154" 39 18 6
"155" 847 184 80
"156" 717 86 78
"157" 6 1 17
"158" 24 2 85
"159" 28 15 4
"160" 520 41 261
"161" 3 77 4
"162" 577 97 39
"163" 354 47 23
"164" 7 1 46
"165" 725 60 133
"166" 617 192 89
"167" 405 53 105
"168" 1266 142 73
"169" 130 5 5
"170" 8 19 1
"171" 545 103 77
"172" 568 84 77
"173" 67 5 288
"174" 962 169 134
"175" 90 0 1
"176" 105 3 10
"177" 24 1 53
"178" 117 1 2
"179" 67 0 3
"180" 442 39 86
"181" 958 141 152
"182" 51 3 0
"183" 2 1 17
"184" 32 0 23
"185" 20 2 37
"186" 18 67 46
"187" 231 0 25
"188" 10 0 42
"189" 2 42 8
"190" 453 40 73
"191" 522 23 45
"192" 792 84 217
"193" 1172 181 173
"194" 723 163 55
"195" 5 63 8
"196" 27 1 288
"197" 7 54 0
"198" 14 28 72
"199" 650 64 100
"200" 2 0 22
"201" 14 52 21
"202" 927 250 127
"203" 131 57 29
"204" 587 92 58
"205" 890 135 104
"206" 87 1 2
"207" 61 0 4
"208" 314 2 7
